S-32D Kardi 7 0.2692307692307692 S:11, I:0, D:17

S-32D Google 8 0.35714285714285715 S:4, I:0, D:6
S-32D Kardi 8 0.21428571428571427 S:1, I:3, D:2

S-32D Google 9 0.34615384615384615 S:25, I:1, D:28
S-32D Kardi 9 0.2692307692307692 S:30, I:1, D:11

S-32D Google 10 0.7692307692307693 S:2, I:1, D:7
S-32D Kardi 10 0.46153846153846156 S:4, I:2, D:0

S-32D Google 11 0.5 S:9, I:10, D:9
S-32D Kardi 11 0.26785714285714285 S:3, I:8, D:4

S-22B Google 0 0.4252336448598131 S:34, I:2, D:55
S-22B Kardi 0 0.2523364485981308 S:35, I:7, D:12

S-22B Google 1 0.3318777292576419 S:29, I:3, D:44
S-22B Kardi 1 0.2096069868995633 S:33, I:9, D:6

S-22B Google 2 0.3710801393728223 S:100, I:7, D:106
S-22B Kardi 2 0.21777003484320556 S:79, I:19, D:27

S-22B Google 3 0.3603238866396761 S:27, I:1, D:61
S-22B Kardi 3 0.1700404858299595 S:22, I:7, D:13

S-22B Google 4 0.43452380952380953 S:55, I:0, D:91
S-22B Kardi 4 0.22916666666666666 S:41, I:4, D:32

S-22B Google 5 0.3923705722070845 S:55, I:2, D:87
S-22B Kardi 5 0.17438692098092642 S:45, I:8, D:11

S-22B Google 6 0.5151515151515151 S:7, I:0, D:10
S-22B Kardi 6 0.2727272727272727 S:4, I:0, D:5

S-22B Google 7 0.2654320987654321 S:24, I:0, D:19
S-22B Kardi 7 0.18518518518518517 S:19, I:3, D:8

S-22B Google 8 0.3409090909090909 S:32, I:1, D:42
S-22B Kardi 8 0.17727272727272728 S:24, I:5, D:10

S-22B Google 9 0.25 S:2, I:0, D:9
S-22B Kardi 9 0.11363636363636363 S:2, I:1, D:2

S-22B Google 10 0.30845771144278605 S:32, I:1, D:29
S-22B Kardi 10 0.20398009950248755 S:30, I:3, D:8

S-22B Google 11 0.4039408866995074 S:40, I:3, D:39
S-22B Kardi 11 0.19704433497536947 S:26, I:7, D:7

S-28D - reference trasncripts empty

S-4D Google 0 0.511482254697286 S:108, I:12, D:125
S-4D Kardi 0 0.4196242171189979 S:109, I:44, D:48

S-4D Google 1 0.5399515738498789 S:117, I:0, D:106
S-4D Kardi 1 0.423728813559322 S:89, I:39, D:47

S-4D Google 2 0.5146579804560261 S:75, I:2, D:81
S-4D Kardi 2 0.3745928338762215 S:65, I:12, D:38

S-4D Google 3 0.5 S:90, I:1, D:78
S-4D Kardi 3 0.31952662721893493 S:63, I:7, D:38

S-4D Google 4 0.5022321428571429 S:125, I:0, D:100
S-4D Kardi 4 0.35267857142857145 S:87, I:16, D:55

S-4D Google 5 0.5605700712589073 S:121, I:1, D:114
S-4D Kardi 5 0.38004750593824227 S:95, I:20, D:45

S-8D Google 0 0.3662551440329218 S:40, I:1, D:48
S-8D Kardi 0 0.1934156378600823 S:19, I:22, D:6

S-8D Google 1 0.3025210084033613 S:31, I:1, D:40
S-8D Kardi 1 0.16806722689075632 S:16, I:13, D:11

S-8D Google 2 0.2733812949640288 S:37, I:2, D:75
S-8D Kardi 2 0.16546762589928057 S:36, I:16, D:17

S-8D Google 3 0.33031674208144796 S:62, I:1, D:83
S-8D Kardi 3 0.25565610859728505 S:58, I:29, D:26

S-8D Google 4 0.31451612903225806 S:78, I:7, D:71
S-8D Kardi 4 0.20967741935483872 S:49, I:32, D:23

S-8D Google 5 0.27640449438202247 S:60, I:2, D:61
S-8D Kardi 5 0.15955056179775282 S:35, I:20, D:16

S-13A - reference trasncripts empty

S-3C Google 0 0.3170731707317073 S:40, I:5, D:20
S-3C Kardi 0 0.3073170731707317 S:29, I:22, D:12

S-3C Google 1 0.3161764705882353 S:18, I:3, D:22
S-3C Kardi 1 0.3161764705882353 S:21, I:14, D:8

S-3C Google 2 0.35185185185185186 S:45, I:7, D:62
S-3C Kardi 2 0.25308641975308643 S:45, I:20, D:17

S-3C Google 3 0.29357798165137616 S:44, I:3, D:17
S-3C Kardi 3 0.2018348623853211 S:24, I:12, D:8

S-3C Google 4 0.35251798561151076 S:94, I:8, D:45
S-3C Kardi 4 0.19184652278177458 S:59, I:11, D:10

S-3C Google 5 0.3401639344262295 S:39, I:2, D:42
S-3C Kardi 5 0.25 S:36, I:7, D:18

S-12D Google 0 0.5263157894736842 S:28, I:0, D:32
S-12D Kardi 0 0.2982456140350877 S:23, I:2, D:9

S-12D Google 1 0.5273972602739726 S:33, I:1, D:43
